,Name,Weapon Type,Archetype,Rarity,Optimal TTK,Bodyshot TTK,Usage,Impact,Range,Stability,Handling,Reload Speed,Rounds Per Minute,Magazine,Aim Assistance,Zoom,Recoil Direction,Blast Radius,Velocity,Charge Time,Accuracy,Draw Time,Swing Speed,Efficiency,Defense,Ammo Capacity,Perk 1 Init,Perk 1 Rolls Hash,Perk 1 Rolls,Perk 1 is Intrinsic,Perk 2 Init,Perk 2 Rolls Hash,Perk 2 Rolls,Perk 2 is Intrinsic,Perk 3 Init,Perk 3 Rolls Hash,Perk 3 Rolls,Perk 3 is Intrinsic,Perk 4 Init,Perk 4 Rolls Hash,Perk 4 Rolls,Perk 4 is Intrinsic
0,Tango-45 XK5094,Scout Rifle,Precision Frame,Legendary,1.0,1.67,,62.0,50.0,50.0,45.0,44.0,180.0,16.0,65.0,20.0,69.0,,,,,,,,,,SLO-12 Post,102176546.0,"['SRO-37 Ocular', 'SRO-41 Ocular', 'SRO-52 Ocular', 'SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front', 'SPO-28 Front', 'SPO-26 Front']",False,Alloy Magazine,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Triple Tap,2338289045.0,"['Hip-Fire Grip', 'Grave Robber', 'Auto-Loading Holster', 'Zen Moment', 'Moving Target', 'Triple Tap', 'High-Impact Reserves']",False,,3031173391.0,"['Explosive Payload', 'Rangefinder', 'Genesis', 'Opening Shot', 'Outlaw', 'Rampage', 'Dragonfly']",False
1,Ancient Gospel,Hand Cannon,Adaptive Frame,Legendary,0.87,1.73,,84.0,47.0,62.0,51.0,49.0,140.0,10.0,74.0,14.0,100.0,,,,,,,,,,,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,,924751432.0,"['Accurized Rounds', 'Drop Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine']",False,,3033334534.0,"['Rapid Hit', 'Slideshot', 'Eye of the Storm', 'Outlaw']",False,,3445907026.0,"['Kill Clip', 'Rangefinder', 'Dragonfly', 'Swashbuckler']",False
2,Good Bone Structure,Shotgun,Precision Frame,Legendary,0.0,0.93,,70.0,60.0,50.0,69.0,46.0,65.0,6.0,35.0,12.0,52.0,,,,,,,,,,,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Extended Mag,2070940234.0,"['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']",False,Outlaw,1712791929.0,"['Outlaw', 'Threat Detector', 'Field Prep', 'Full Auto Trigger System', 'Pulse Monitor', 'Quickdraw']",False,,3247925349.0,"['Rampage', 'Triple Tap', 'Snapshot Sights', 'Moving Target', 'Slideshot', 'Opening Shot']",False
3,Avalanche,Machine Gun,Adaptive Frame,Legendary,0.53,0.8,,41.0,55.0,46.0,34.0,60.0,450.0,57.0,90.0,15.0,70.0,,,,,,,,,,SLO-12 Post,2159586187.0,"['SRO-37 Ocular', 'SRO-41 Ocular', 'SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front', 'SPO-28 Front', 'SPO-26 Front']",False,Alloy Magazine,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Under Pressure,3640103974.0,"['Under Pressure', 'Dynamic Sway Reduction', 'Slideways', 'Threat Detector', 'Moving Target', 'Feeding Frenzy']",False,Rampage,1662011404.0,"['Rampage', 'High-Impact Reserves', 'Quickdraw', 'Firmly Planted', 'Snapshot Sights', 'Hip-Fire Grip']",False
4,Drang (Baroque),Sidearm,Together Forever,Legendary,0.6,1.0,0.183,49.0,42.0,64.0,74.0,37.0,300.0,18.0,70.0,14.0,80.0,,,,,,,,,,Full Bore,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Accurized Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Quickdraw,4059393592.0,"['Quickdraw', 'Disruption Break', 'Full Auto Trigger System', 'Eye of the Storm', 'Opening Shot', 'Moving Target']",False,Rampage,966171386.0,"['Rampage', 'Shield Disorient', 'Swashbuckler', 'Underdog', 'Zen Moment', 'Snapshot Sights']",False
5,The Ringing Nail,Auto Rifle,Precision Frame,Legendary,0.93,1.47,,29.0,65.0,51.0,51.0,52.0,450.0,32.0,37.0,16.0,69.0,,,,,,,,,,Rasmussen ISA,2297841689.0,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL', 'Satou Focus Lens', 'Satou Precision Lens']",False,High-Caliber Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Dragonfly,30127398.0,"['Zen Moment', 'Dragonfly', 'Ambitious Assassin', 'Shield Disorient', 'Under Pressure', 'Quickdraw']",False,Rampage,2615714572.0,"['Kill Clip', 'Rampage', 'High-Impact Reserves', 'Tap the Trigger', 'Disruption Break', 'Mulligan']",False
6,Hard Truths,Submachine Gun,Aggressive Frame,Legendary,0.67,1.0,,22.0,45.0,15.0,52.0,28.0,750.0,27.0,27.0,13.0,80.0,,,,,,,,,,,2277626256.0,"['IS 2 Classic', 'IS 5 Circle', 'Model 6 Loop', 'Model 8 Red']",False,,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,,47524552.0,"['Pulse Monitor', 'Under Pressure', 'Slideways', 'Field Prep', 'Zen Moment', 'Snapshot Sights', 'Moving Target']",False,,860261492.0,"['Dynamic Sway Reduction', 'Kill Clip', 'High-Impact Reserves', 'Grave Robber', 'Tap the Trigger', 'Auto-Loading Holster', 'Threat Detector']",False
7,Shining Sphere,Rocket Launcher,Adaptive Frame,Legendary,0.0,0.0,,,,45.0,45.0,45.0,20.0,1.0,58.0,20.0,60.0,75.0,54.0,,,,,,,,Volatile Launch,3664361537.0,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']",False,High-Velocity Rounds,929622943.0,"['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']",False,Snapshot Sights,488190050.0,"['Rangefinder', 'Field Prep', 'Auto-Loading Holster', 'Snapshot Sights']",False,Quickdraw,1254461976.0,"['Tracking Module', 'Ambitious Assassin', 'Quickdraw', 'Demolitionist']",False
8,Luna's Howl,Hand Cannon,Precision Frame,Legendary,1.0,1.67,5.08,80.0,47.0,61.0,42.0,59.0,150.0,10.0,79.0,14.0,95.0,,,,,,,,,,Polygonal Rifling,,,True,Drop Mag,,,True,Zen Moment,,,True,Magnificent Howl,,,True
9,Better Devils,Hand Cannon,Adaptive Frame,Legendary,0.87,1.73,0.414,84.0,46.0,48.0,46.0,46.0,140.0,10.0,75.0,14.0,88.0,,,,,,,,,,Fastdraw HCS,2849697470.0,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']",False,Extended Mag,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Explosive Payload,445765042.0,"['Moving Target', 'Outlaw', 'Auto-Loading Holster', 'Rangefinder', 'Threat Detector', 'Triple Tap', 'Snapshot Sights']",False,,1015081094.0,"['Timed Payload', 'Kill Clip', 'Field Prep', 'Hip-Fire Grip', 'Zen Moment', 'Opening Shot', 'Explosive Payload']",False
