Hosts,Title,Description,Additional Hosts,Age Restriction,Day,Start Time,Location,Duration,Panel Type
Boozy Badger,Basic Law for Idiots,"Boozy Badger, a licensed attorney, goes over basic concepts of criminal and civil law in an entertaining and sometimes profane ask and answer method",,All attendees admitted,Saturday,1:00 PM,Main,50 minutes,Live
SemJay,Being Disabled In Furry Fandom,"At this panel, we will discuss what it's like to be disabled in the furry fandom. All are welcome, disabled or not, to better learn what can be done to make the furry fandom accessible to everyone! ",,All attendees admitted,Sunday,3:30 PM,Main,50 minutes,Live
Tiller,Budget Record Night,"We buy records for $1 that we've never heard of, with the weirdest covers we can find, then play them on stream and learn about what we found. It's funny, I promise.",Isaac,All attendees admitted,Sunday,3:00 PM,Secondary,50 minutes,Live
Citrine Husky ,Citrine In Concert ,Join us for an hour of original music from the fandom’s own blind singing husky.,,All attendees admitted,,,Artists & Dealers,50 minutes,Pre-Recorded
Quack Quack Honk,Color with Quack Quack Honk,I will have a piece of line art posted to my social media for people to download. I’ll be coloring it while I talk about techniques and walk you through how I do my marker art. ,,All attendees admitted,Saturday,12:00 PM,Main,50 minutes,Live
Alkali,Convention War Stories,What happens behind the closed doors of conventions? Sit back and listen to the stories that you were never meant to find out about from our panel of convention staff and board members. Enjoy the stories and find out why that cop was shaking his head well laughing. ,Trying to get Kage to join me. Draggor is also invited.,All attendees admitted,Sunday,5:30 PM,Main,1 hour 20 minutes,Live
Sal Hernandez,Create Characters With Bases,Want to make characters but aren't confident in your skill level? Or do you want to make doing adoptables more quickly?  Pre-made bases might be just the answer for you! Learn how to use bases to make characters and get a free starter base!,,All attendees admitted,Saturday,2:00 PM,Secondary,20 minutes,Live
Queuethulu ,Cryptids and you,Queuethulu and GotherineFoxx take a deep dive into strange cryptids of the internet and real life. Theyll help find you that potential new look for the summer too!,GotherineFoxx ,18+ Only,Sunday,5:30 PM,Secondary,1 hour 20 minutes,Live
Faelan,D&D Self-Publishing Workshop,"Have you ever considered sharing your own TTRPG homebrew content with the world, for profit or pleasure? Join the host of CHAIRity D&D as he talks through his own time in the publishing world, and answers your questions about the creative process.",,All attendees admitted,Saturday,3:00 PM,Secondary,50 minutes,Live
Sli,Destiny for dummies,"Playing destiny 2 with people, explaining dumb lore, and having fun. Ending in some fun doodles based on the night.",,18+ Only,Friday,8:00 PM,Secondary,1 hour 50 minutes,Live
Divine Dragon Cannon,Divine Dragon Cannon,Those dragon boys are back at it again.,"Xzen, Zae, Penor Braccus, and Dolphinboy",All attendees admitted,,,Artists & Dealers,20 minutes,Pre-Recorded
Marrok,Draw Your Fursona Name in Maya Glyphs!,"Learn to translate your name into Maya hieroglyphs, draw it, and create a badge. You'll be able to leave this panel with a self-drawn art glyph with your fursona name. Marrok, the Wolf Archaeologist will guide you every step of the way!",,All attendees admitted,Saturday,1:00 PM,Secondary,1 hour 20 minutes,Live
Alex White,Entering the World of Darkness,"The World of Darkness is a horror TTRPG system in a magical realism setting where the players are the monsters. Join Alex White and our very special guest, Onyx Path freelance author Jacob Burgess, as they show you what it's like to go bump in the night!",Jacob Burgess,18+ Only,Friday,5:30 PM,Main,50 minutes,Pre-Recorded
Sal Hernandez,Furry Anatomy for Artists,"Learn the basics of furry anatomy. This panel has a focus on muzzles, paws, wings, tails and how they all fit together to make a furry.",,All attendees admitted,Sunday,10:00 AM,Secondary,50 minutes,Live
CCritt93,Furry Card Sharks,"The classic TV game of higher and lower—with a furry twist! Players predict how furry fans responded to poll questions, then test their luck against the cards. Winners play the Money Cards for HAWS!",,All attendees admitted,Sunday,1:00 PM,Main,1 hour 50 minutes or more,Live
"Linnea ""LiteralGrill"" Capps",Furry Writers' Guild And You!,"If you're an aspiring author in the furry fandom the Furry Writers' Guild is a resource you shouldn't ignore! Come learn about the guild, what it does, and a bit about writing from the current FWG president.",,All attendees admitted,Sunday,10:00 AM,Artists & Dealers,20 minutes,Pre-Recorded
firr,Fursona fight club,I went to my first fursona fight club last night.  I got a bit late so I missed the first couple rules but I had a great time and I really recommend you come check it out.  ,,All attendees admitted,Sunday,11:00 AM,Main,50 minutes,Live
Gazzy,Gazzy’s Cavalcade of Fancy Cups,You like fancy cups? Wanna know stuff about them and when to use them? Come spare a few minutes and let me be your guide to the magical world of Fancy Cups.,,18+ Only,Saturday,8:00 PM,Secondary,20 minutes,Pre-Recorded
Draggor,Getting DooMed with Draggor,A 1 hour version of my DooM open play server and podcast where I'll have a guest to interview.,,All attendees admitted,Sunday,2:00 PM,Secondary,50 minutes,Live
Sal Hernandez,How to Draw Furries,"Learn how to draw furries, with tips and techniques suitable for beginners and intermediate artists.",,All attendees admitted,Friday,5:30 PM,Secondary,50 minutes,Live
"Linnea ""LiteralGrill"" Capps",How To Get Published In Furry Anthologies,"Have you wanted to see your name in print but aren't ready to try and write then publish a full fledged novel? Get some insider tips from not only an author, but an anthology editor herself!",,All attendees admitted,Sunday,11:00 AM,Secondary,20 minutes,Pre-Recorded
Uncle Kage,I Comedy Better When I've had a Few,You give money to the charity while we make you laugh.  Keeping giving money to the charity and we'll keep making you laugh.,"Alkali, Boozy Badger, Pandez, and/or Ronnie ",18+ Only,Saturday,6:30 PM,Main,1 hour 20 minutes,Live
Iggy,Iggy's Got A Secret,The classic panel game show with celebrity panelists and contestants plucked from the fandom to stump the panelists about their secrets or occupation!,,All attendees admitted,Sunday,10:00 AM,Main,50 minutes,Live
Loading Ready Run,Loading Ready Run Presents: The Panalysts,"Looking for answers to some of life's most unpleasant dilemmas? LoadingReadyRun understands! We force teams of comedians to answer the ridiculous stuff you used to argue about in playgrounds. It's like high-school debate club, except intentionally funny.",,All attendees admitted,Saturday,6:00 PM,Main,20 minutes,Pre-Recorded
Keyotter,Keyotter's Jazz Happy Hour!,"Key the otter is ready to serenade you on the piano and accordion in this chill live music stream! Kick back and put your paws up for a mix of jazz tunes, video game music covers, and song requests from chat.",Cornel,All attendees admitted,Friday,4:00 PM,Secondary,1 hour 20 minutes,Live
Pepper Coyote,Last Minute: Politics - Live recording of the world’s only furry podcast,"This is a live-taping of Last Minute Politics, the fandom’s only current event podcast. Join PepperCoyote, Xander, and Draggor to talk about the news, and most importantly, how to survive under the capitalist system of resource distribution. Heated Q and A to follow.","Xander the Blue, Draggor",18+ Only,Friday,8:00 PM,Main,50 minutes,Live
Boozy Badger ,Lawyer Horror Stories ,"
Come join Boozy as he shares stories from the legal world. From the mundane to the crazy, we have it all. Have questions? Come ask them and see our host go crazy.",,18+ Only,Saturday,3:00 PM,Main,50 minutes,Live
Serathin,Let's Make a Game!,"Join in a design-by-committee game where you can suggest concepts and then vote on the result!  Will it be the next AAA title, or a concept salad destined for the bargain bin?",,All attendees admitted,Friday,4:30 PM,Main,50 minutes,Live
Draggor,Libation Appreciation,Interview/discussion show about drinks with pre-submitted questions!,"Alkali, QuotationMarks, and others",21+ Only,Saturday,9:00 PM,Main,50 minutes,Live
Serathin,Making Commission Art for Fun and Profit,"From a Terms of Service to Pricing, Serathin has been a commissioned writer for many years and ready to share his experiences to help navigate through the waters of being a commission artist.  Good whether doing it for fun, an extra bit of money, or to start a business! ",,All attendees admitted,,,Artists & Dealers,50 minutes,Live
Firr,Making vrchat bullshit,"Firr and his friends will show you the basics of making a VRchat world, avatars, and much more!  ",Fizz otter,All attendees admitted,Sunday,2:30 PM,Main,1 hour 20 minutes,Live
"Linnea ""LiteralGrill"" Capps",Marketing Furry Writing To Non-Furry Markets,Did you write a story about an anthro animal and thought no one but furries would read it? WRONG! Learn how to market your works to non-furry audiences from published award winning author and Furry Writers' Guild president Linnea Capps!,,All attendees admitted,Sunday,11:30 AM,Secondary,20 minutes,Pre-Recorded
Boozy Badger ,Mass-Debation ,"A charity debate panel where you vote with your dollars. Three debates on irrelevant topics picked from the audience, argued irreverently by the panelists, with the audience picking the winner  ",,All attendees admitted,Friday,9:00 PM,Main,50 minutes,Live
RuffledGryphon,"Otherkin and Therians and Alterhumans, Oh My!","Meetup and discussion on otherkin, therians and alterhumans. Come and meet others that identify as these and other related identities to discuss this aspect of our lives.",Daski,All attendees admitted,Friday,6:30 PM,Secondary,1 hour 20 minutes,Live
PepperCoyote,Pepper Coyote in concert,"Live music as performed by singer/guitarist Pepper Coyote! Hear original material, covers, and old stuff that hasn’t been heard in years. Or ever!",,All attendees admitted,,,Artists & Dealers,1 hour 20 minutes,Live
Alex White,"Power, Consent, and Safety in RPGs",Recently popularized safety tools used in RPGs have their roots in kink practices. Come join RPG creative and acclaimed kink educator Alex White to learn more about what DMs and players alike can learn about creating a safe and fun game from the dungeon's native residents!,Jacob Burgess,18+ Only,Saturday,8:00 PM,Main,50 minutes,Pre-Recorded
Tarantino The Dunce,Red Pandas: The Master Species,"Learn about the glorious beings that are the Red Pandas! Be overwhelmed with the knowledge of why they reign supreme over all creatures, including humans!",,All attendees admitted,Sunday,1:30 PM,Secondary,20 minutes,Pre-Recorded
Uncle Kage,"Science, Pseudoscience, and Outright Crap","Homeopathic remedies?  Magnets?  Aromatherapy?  Let's examine these a little more closely, and let you decide for yourself what is sound science and what is outright crap. ",,18+ Only,Sunday,12:00 PM,Secondary,1 hour 20 minutes,Pre-Recorded
Iggy,Scribbles N Bits,"        ""It was a dark and stormy night,"" except then it wasn't. We're furries; we can do better than Paul Clifford! Come join the game where , the audience proposes the next line of the story, and we all vote which line we like the best to become the next line in the story.",Draggor,All attendees admitted,Saturday,5:00 PM,Secondary,1 hour 20 minutes,Live
Bennie Tiger,Size Matters,Talking about furries of unusual size: large and small. A panel discussion featuring the members of the Size Matters Podcast. Small as a mouse? Bigger than a house? That's what we're talking about.,Kwandry Bashir and Kenson Shimobe,All attendees admitted,Saturday,6:30 PM,Secondary,50 minutes,Live
