County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,FMNP,Operating Months,Latitude,Longitude,FCC Issued,EBT/SNAP,FCC Accepted,Location Points
Albany,Altamont Farmers' Market,"Altamont Free Library, 181 Main St.",181 Main Street,Altamont,NY,12009,Kelly Best,5188618554,http://nfmd.org/ny/altamont/1004383/,"Mon, Tue, Thu, Fri  11am-6pm, Sat/Sun  10am-2pm",July 1-October 1,Y,M,42.70149,-74.03254,N,N,Y,"(42.70149, -74.03254)"
Albany,Altamont Orchards Farm Stand,"6654 Dunnsville Road, Altamont",6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://www.altamontorchards.com,Daily  9:30am-5pm,August 27-December 24,Y,M/X,42.720708,-74.01624,N,N,Y,"(42.720708, -74.01624)"
Albany,CDPHP Farmers' Market,"CDPHP prkg lot off Washington Ave., 500 Patroon Creek Blvd. Albany",500 Patroon Creek Bvld.,Albany,NY,12206,Randy Tryon,5186415611,http://www.cdphp.com,Thursday  11am-1:30pm,May 26-October 13,Y,P/M,42.68418,-73.80587,N,N,Y,"(42.68418, -73.80587)"
Albany,Colonie Crossings Farmers' Market,580 Albany Shaker Rd. Loudonville,580 Albany Shaker Rd,Colonie,NY,12211,Laura Archambault,5184562136,http://www.colonie.org,Saturday  9am-1pm,May 21-October 1,Y,P/M,42.71016,-73.78029,N,N,Y,"(42.71016, -73.78029)"
Albany,Cook Park Farmers' Market,Sharon Drive Pavilion Cook Park Colonie,3 Sharon drive,Colonie,NY,12205,Krysta Dennis,5186692636,http://www.cookparkfarmersmarket.com,Thursday  4pm-7pm,May 12-October 13,Y,P/M,42.70742,-73.83453,N,N,Y,"(42.70742, -73.83453)"
Albany,Delaware Community Farmers' Market,"Delaware Branch Library, 331 Delaware Ave. Albany",331 Delaware Ave,Albany,NY,12209,Louise McNeilly,5184320516,,"Jun-Sept: Tues 4p-7p, Oct-Nov: Tues 3p-6p",June 21-November 15,Y,M,42.64305,-73.77824,Y,Y,Y,"(42.64305, -73.77824)"
Albany,Delmar Saturday Farmers' Market,"Bethlehem Central Middle School, 332 Kenwood Avenue",332 Kenwood Avenue,Delmar,NY,12054,Ken Myer,5184871991,http://www.delmarmarket.org,Saturday  9am-1pm,May 7-December 17,Y,P/M/X,42.6212,-73.82577,N,Y,Y,"(42.6212, -73.82577)"
Albany,Delmar Tuesday Farmers' Market,"First United Methodist Church Lot, 428 Kenwood Ave.",428 Kenwood Ave,Delmar,NY,12054,Frank Stanton,5187568228,http://www.cdfm518.com,Tuesday  2:30pm-6pm,May 3-November 22,Y,P/M,42.62298,-73.83623,N,Y,Y,"(42.62298, -73.83623)"
Albany,Downtown Albany Farmers' Market,SUNY Plaza 353 Broadway & State St (Indoor Market - Inside SUNY Bldg),353 Broadway,Albany,NY,12207,Ron Bulich,5182912449,http://www.cdfma518.com,Thursday  11am-2pm,Year-round,Y,YR,42.64847,-73.75012,Y,Y,Y,"(42.64847, -73.75012)"
Albany,Empire State Plaza Friday Farmers' Market,Empire State Plaza near the Capitol,170 State St,Albany,NY,12210,Jason Rumpf,5184732982,http://www.ogs.ny.gov,Friday  10am-2pm,May 4-October 14,Y,P/M,42.65162,-73.75692,Y,Y,Y,"(42.65162, -73.75692)"
Albany,Empire State Plaza Wed Farmers' Market,"Empire State Plaza, In Front of Capitol, (Winter inside South Concourse)",170 State St,Albany,NY,12210,Jason Rumpf,5184732982,http://www.ogs.ny.gov,Wednesday  10am-2pm,Year-round,Y,YR,42.65068,-73.758,Y,Y,Y,"(42.65068, -73.758)"
Albany,Farm to Preschool III Farmers' Market,Cohoes Community Center  22-40 Remsen St.,22-40 Remsen Street,Cohoes,NY,12047,Darlene Yule,5184267181,http://www.cdcccc.org,Mon  2:30pm-5:30pm,June 13-September 26,Y,M,42.7756,-73.70149,Y,Y,Y,"(42.7756, -73.70149)"
Albany,Harriman State Campus Farmers' Market,"Harriman State Office Campus, behind Bldg. 8A Albany",1366 Washington Ave.,Albany,NY,12203,Jason Rumpf,5184732982,http://www.ogs.ny.gov,Thursday  10am-2pm,May 5-October 13,Y,P/M,42.678038,-73.809942,N,N,Y,"(42.678038, -73.809942)"
Albany,New Covenant Farmers' Market,"New Covenant Presbyterian Church, 916 Western Ave.",916 Western Ave,Albany,NY,12203,Katy Stenta,5184828063,https://www.facebook.com/NewCovenantFarmersMarket/,Tuesday  3pm-6pm,May 24-October 4,Y,P/M,42.67228,-73.81026,N,N,Y,"(42.67228, -73.81026)"
Albany,South End Farmers' Market,Lincoln Park Eagle St & Morton Ave  Albany,Eagle St and Morton Ave,Albany,NY,12202,Ray Turner,5185066524,,Saturday  12pm-4pm,July 9-October 8,Y,M,42.64326,-73.76304,N,Y,Y,"(42.64326, -73.76304)"
Albany,Veggie Mobile-Arbor Hill/West Hill,Henry Johnson Blvd & 2nd St. Albany,Henry Johnson Boulevard and 2nd Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 12:15pm-1pm,Year-round,Y,YR,42.66226,-73.76013,Y,Y,Y,"(42.66226, -73.76013)"
Albany,Veggie Mobile-Center for Disability,646 South Pearl Street Albany,646 South Pearl Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 12:15pm-1pm,Year-round,Y,YR,42.63003,-73.76585,Y,Y,Y,"(42.63003, -73.76585)"
Albany,Veggie Mobile-Cohoes Senior Ctr,100 Cayuga Plaza Cohoes,100 Cayuga Plaza,Cohoes,NY,12047,Audrey Bridge,5182748685,http://www.capitalroots.org,Wednesday 3pm-4pm,Year-round,Y,YR,42.77712,-73.70101,Y,Y,Y,"(42.77712, -73.70101)"
Albany,Veggie Mobile-Creighton Storey,158 3rd Street Albany,158 3rd Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 5pm-5:45pm,Year-round,Y,YR,42.66205,-73.7578,Y,Y,Y,"(42.66205, -73.7578)"
Albany,Veggie Mobile-Howe Library,Schuyler & Broad St. Albany,Schuyler St and Broad Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 3pm-3:45pm,Year-round,Y,YR,42.64112,-73.75802,Y,Y,Y,"(42.64112, -73.75802)"
Albany,Veggie Mobile-Koinonia Primary Care,533 Clinton Ave. (at N. Lake) Albany,533 Clinton Avenue,Albany,NY,12206,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 2pm-2:45pm,Year-round,Y,YR,42.66508,-73.76804,Y,Y,Y,"(42.66508, -73.76804)"
Albany,Veggie Mobile-Lincoln Square,3 Lincoln Square Albany,3 Lincoln Square,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Mon 5pm-5:45pm,Year-round,Y,YR,42.6428,-73.76118,Y,Y,Y,"(42.6428, -73.76118)"
Albany,Veggie Mobile-N. Albany YMCA,616 N. Pearl St. Albany,616 North Pearl Street,Albany,NY,12204,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 4:45pm-5:45pm,Year-round,Y,YR,42.67368,-73.73953,Y,Y,Y,"(42.67368, -73.73953)"
Albany,Veggie Mobile-Robert Whalen,305 Colonie Street Albany,305 Colonie Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11:15am-12pm,Year-round,Y,YR,42.66338,-73.75595,Y,Y,Y,"(42.66338, -73.75595)"
Albany,Veggie Mobile-South Mall Towers,101 S. Pearl St. Albany,101 South Pearl Street,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri  11am-12:15pm,Year-round,Y,YR,42.6465,-73.75482,Y,Y,Y,"(42.6465, -73.75482)"
Albany,Veggie Mobile-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 12:15pm-1pm,Year-round,Y,YR,42.65197,-73.81477,Y,Y,Y,"(42.65197, -73.81477)"
Albany,Veggie Mobile-St. Sophia's,440 Whitehall Road Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12:15pm-1pm,Year-round,Y,YR,42.65244,-73.81416,Y,Y,Y,"(42.65244, -73.81416)"
Albany,Veggie Mobile-Steamboat Square Apts,20 Rensselaer St. Albany,20 Rensselaer Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11am-11:45am,Year-round,Y,YR,42.64093,-73.75363,Y,Y,Y,"(42.64093, -73.75363)"
Albany,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,2 Thurlow Terrace,Albany,NY,12203,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,Y,YR,42.66032,-73.77248,Y,Y,Y,"(42.66032, -73.77248)"
